image,image_index,payload_bytes,effective_user_bpp,exact_recovery,psnr_db,global_ssim,simple_distance,spam_distance,gate_score,accepted
05_artifacts\data\security_gate\caltech20_diverse\accordion_test_01641.jpg,0,64,0.001953125,True,43.12857648126852,0.9997052915064469,0.03146901726722717,0.06580144166946411,3.2677725634704387,False
05_artifacts\data\security_gate\caltech20_diverse\airplanes_test_00491.jpg,1,64,0.001953125,False,45.042791401327804,0.9997969260274516,0.017483573406934738,0.17042842507362366,4.800180293145969,False
05_artifacts\data\security_gate\caltech20_diverse\anchor_test_03484.jpg,2,64,0.001953125,True,42.875922126670936,0.9998203761889841,0.014369743876159191,0.1312199831008911,3.0894177338453974,False
05_artifacts\data\security_gate\caltech20_diverse\ant_test_00086.jpg,3,64,0.001953125,True,43.185274985363655,0.9994703893956685,0.03079104982316494,0.08407071232795715,3.775318199685599,False
05_artifacts\data\security_gate\caltech20_diverse\background_google_test_04580.jpg,4,64,0.001953125,True,45.15449934959718,0.9998749402788889,0.002005646238103509,0.0591079443693161,-0.959860061662436,False
05_artifacts\data\security_gate\caltech20_diverse\barrel_test_01752.jpg,5,64,0.001953125,True,46.39588684749978,0.999891597024328,0.004412695299834013,0.05563143268227577,-0.7465620626041416,False
05_artifacts\data\security_gate\caltech20_diverse\bass_test_02362.jpg,6,64,0.001953125,True,44.54584670785526,0.9998636762020414,0.0052870274521410465,0.06201967969536781,-0.41790471979247584,False
05_artifacts\data\security_gate\caltech20_diverse\beaver_test_02447.jpg,7,64,0.001953125,True,45.30695725702045,0.9994814888512801,0.004559183493256569,0.04784461483359337,-0.9822719181008562,False
05_artifacts\data\security_gate\caltech20_diverse\binocular_test_03481.jpg,8,64,0.001953125,True,44.36140927654122,0.9999044659919948,0.009618711657822132,0.05749617889523506,0.02282850493874522,False
05_artifacts\data\security_gate\caltech20_diverse\bonsai_test_02476.jpg,9,64,0.001953125,True,43.538890939580426,0.9997782033640009,0.010292909108102322,0.06432564556598663,0.33874659206391267,False
05_artifacts\data\security_gate\caltech20_diverse\brain_test_03351.jpg,10,64,0.001953125,True,47.29082554742068,0.9998872839834034,0.021518195047974586,0.04775026813149452,1.3215574488647825,False
05_artifacts\data\security_gate\caltech20_diverse\brontosaurus_test_01437.jpg,11,64,0.001953125,True,43.21133017125903,0.9997430216576569,0.010431635193526745,0.04980045557022095,-0.1192358719437662,False
05_artifacts\data\security_gate\caltech20_diverse\buddha_test_03501.jpg,12,64,0.001953125,True,43.74952403318183,0.999871679663597,0.01462303102016449,0.08333492279052734,1.5518343440453686,False
05_artifacts\data\security_gate\caltech20_diverse\butterfly_test_00098.jpg,13,64,0.001953125,True,43.10994572232368,0.999889102521628,0.017251858487725258,0.06307827681303024,1.244418974666366,False
05_artifacts\data\security_gate\caltech20_diverse\camera_test_01732.jpg,14,64,0.001953125,True,43.98138278962321,0.9998701259058695,0.015487298369407654,0.05322755128145218,0.6809932206385713,False
05_artifacts\data\security_gate\caltech20_diverse\cannon_test_03468.jpg,15,64,0.001953125,True,43.25787898072952,0.9994779858415334,0.013019370846450329,0.04110846668481827,-0.052580158146526085,False
05_artifacts\data\security_gate\caltech20_diverse\car_side_test_02744.jpg,16,64,0.001953125,True,47.036657489785554,0.9997908514562276,0.002926100743934512,0.04232389107346535,-1.3856614931196458,True
05_artifacts\data\security_gate\caltech20_diverse\ceiling_fan_test_02222.jpg,17,64,0.001953125,True,46.62276419774079,0.9995606308068605,0.01122100930660963,0.06909147650003433,0.6214550272809337,False
05_artifacts\data\security_gate\caltech20_diverse\cellphone_test_01802.jpg,18,64,0.001953125,True,45.02210326401461,0.9998378900906131,0.011760290712118149,0.05926688760519028,0.37227784953575743,False
05_artifacts\data\security_gate\caltech20_diverse\chair_test_02030.jpg,19,64,0.001953125,True,42.49859645830199,0.9997264729067298,0.0090414397418499,0.030046788975596428,-0.9568446083964783,False
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\10df7367edd3c11d.png,20,64,0.001953125,True,46.88753377947948,0.9997245308541693,0.004986750893294811,0.030940284952521324,-1.479069169281689,True
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\17c739b51dcfcdd3.png,21,64,0.001953125,True,45.49815130480542,0.9996700331646894,0.0060996199026703835,0.02111203595995903,-1.6503416421208965,True
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\20d1ab985e2a4390.png,22,64,0.001953125,True,44.59832479907418,0.9998603294491527,0.015447619371116161,0.0363907553255558,0.12285375050447944,False
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\2341c7d483618948.png,23,64,0.001953125,True,46.89206531456765,0.9998393288185835,0.019977422431111336,0.020473796874284744,0.21649658501001368,False
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\26944ee8719aed15.png,24,64,0.001953125,True,45.27438582581187,0.9998808103555539,0.011088515631854534,0.04995955154299736,-0.02465769566237,False
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\2aba4268d6a1b8df.png,25,64,0.001953125,True,46.22155363160023,0.9997228437389781,0.021407438442111015,0.03354493901133537,0.8401388080687622,False
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\3665df2a9e452eaf.png,26,64,0.001953125,True,45.86832559856184,0.9998769746975801,0.004351012874394655,0.02100277878344059,-1.891790717413469,True
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\3dff6b4572875d85.png,27,64,0.001953125,True,45.70063770946827,0.9998406310506964,0.005976958200335503,0.02158189006149769,-1.6516022288223549,True
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\48e02e31202989d3.png,28,64,0.001953125,True,47.143280323454576,0.9994201851517006,0.00752233574166894,0.02000661939382553,-1.4931004120959563,True
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\67183260213b8f18.png,29,64,0.001953125,True,45.89334529516216,0.9997063734948636,0.009592059999704361,0.024097997695207596,-1.0772392466658967,False
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\6e31869cfdabbae4.png,30,64,0.001953125,True,45.67139082379303,0.9997962055113954,0.007159058470278978,0.01830289512872696,-1.5984491058151378,True
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\7faeb6dad2235e7b.png,31,64,0.001953125,True,45.365558811985125,0.9997971719329646,0.010403323918581009,0.02102501131594181,-1.0677676879216391,False
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\9d03a4e1ba3d37dd.png,32,64,0.001953125,True,46.48833319953974,0.9998507239267882,0.007735706400126219,0.020855944603681564,-1.4361928581111463,True
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\a1e702149e3ae159.png,33,64,0.001953125,True,46.880513433865204,0.9997527350059378,0.006050677504390478,0.016460023820400238,-1.809722034225044,True
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\ac9b3744894f9b34.png,34,64,0.001953125,True,46.21943717544724,0.9998589404755206,0.02639937587082386,0.026115141808986664,1.2752740068950992,False
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\b413ab0d83bf9090.png,35,64,0.001953125,True,47.034897928497955,0.9998888563523354,0.010712996125221252,0.03567661717534065,-0.5446396486656466,False
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\c03c6b572d5ff31b.png,36,64,0.001953125,True,46.674586243127465,0.9997418735500377,0.007769262883812189,0.02520688995718956,-1.288789247793039,False
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\c96ae1db78f52287.png,37,64,0.001953125,True,46.58375316935605,0.9997865964404719,0.007458964828401804,0.018181918188929558,-1.561624579499991,True
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\de733604ceab295b.png,38,64,0.001953125,True,44.86730392152762,0.9997935493287412,0.006145155522972345,0.037090759724378586,-1.1195754958098298,False
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\f663747f7d7d5888.png,39,64,0.001953125,True,46.32613229781603,0.9998168672364082,0.024810729548335075,0.04788671061396599,1.7739187610102407,False
