payload_bytes,packet_bytes,block_size,bits_per_token,overhead,image_copies,attack,binning,position_mode,margin,source_symbols,encoded_symbols,used_token_slots,raw_capacity_bits,recovered_symbols,exact_symbols,crc_valid_symbols,crc_rejected_symbols,token_match_rate,value_match_rate,exact_recovery,failure,capacity_exhausted
64,76,4,1,0.5,4,clean,projection,center,2,19,29,576,576,18,18,18,0,1.0,1.0,False,decoder stopped with 1 missing source blocks,True
64,76,4,1,0.5,4,jpeg85,projection,center,2,19,29,576,576,18,18,18,0,1.0,1.0,False,decoder stopped with 1 missing source blocks,True
64,76,4,1,0.5,4,resize075,projection,center,2,19,29,576,576,18,18,18,0,0.964844,1.0,False,decoder stopped with 1 missing source blocks,True
64,76,4,1,0.5,4,blur1,projection,center,2,19,29,576,576,18,18,18,0,0.881836,1.0,False,decoder stopped with 1 missing source blocks,True
64,76,4,1,0.5,4,noise002,projection,center,2,19,29,576,576,18,18,18,0,1.0,1.0,False,decoder stopped with 1 missing source blocks,True
64,76,4,1,0.5,4,crop090,projection,center,2,19,29,576,576,18,0,0,18,0.082031,0.795139,False,no CRC-valid symbols available,True
64,76,4,1,0.5,8,clean,projection,center,2,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,8,jpeg85,projection,center,2,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,8,resize075,projection,center,2,19,29,928,928,29,29,29,0,0.960449,1.0,True,,False
64,76,4,1,0.5,8,blur1,projection,center,2,19,29,928,928,29,29,29,0,0.881836,1.0,True,,False
64,76,4,1,0.5,8,noise002,projection,center,2,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,8,crop090,projection,center,2,19,29,928,928,29,0,0,29,0.084473,0.793103,False,no CRC-valid symbols available,False
64,76,4,1,0.5,12,clean,projection,center,2,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,12,jpeg85,projection,center,2,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,12,resize075,projection,center,2,19,29,928,928,29,29,29,0,0.961914,1.0,True,,False
64,76,4,1,0.5,12,blur1,projection,center,2,19,29,928,928,29,29,29,0,0.883138,1.0,True,,False
64,76,4,1,0.5,12,noise002,projection,center,2,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,12,crop090,projection,center,2,19,29,928,928,29,0,0,29,0.08138,0.793103,False,no CRC-valid symbols available,False
64,76,4,1,0.5,16,clean,projection,center,2,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,16,jpeg85,projection,center,2,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,16,resize075,projection,center,2,19,29,928,928,29,29,29,0,0.960205,1.0,True,,False
64,76,4,1,0.5,16,blur1,projection,center,2,19,29,928,928,29,29,29,0,0.882812,1.0,True,,False
64,76,4,1,0.5,16,noise002,projection,center,2,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,16,crop090,projection,center,2,19,29,928,928,29,0,0,29,0.080566,0.793103,False,no CRC-valid symbols available,False
64,76,4,1,0.5,24,clean,projection,center,2,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,24,jpeg85,projection,center,2,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,24,resize075,projection,center,2,19,29,928,928,29,29,29,0,0.958008,1.0,True,,False
64,76,4,1,0.5,24,blur1,projection,center,2,19,29,928,928,29,29,29,0,0.877604,1.0,True,,False
64,76,4,1,0.5,24,noise002,projection,center,2,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,24,crop090,projection,center,2,19,29,928,928,29,0,0,29,0.080892,0.793103,False,no CRC-valid symbols available,False
64,76,4,1,0.8,4,clean,projection,center,2,19,35,576,576,18,18,18,0,1.0,1.0,False,decoder stopped with 1 missing source blocks,True
64,76,4,1,0.8,4,jpeg85,projection,center,2,19,35,576,576,18,18,18,0,1.0,1.0,False,decoder stopped with 1 missing source blocks,True
64,76,4,1,0.8,4,resize075,projection,center,2,19,35,576,576,18,18,18,0,0.964844,1.0,False,decoder stopped with 1 missing source blocks,True
64,76,4,1,0.8,4,blur1,projection,center,2,19,35,576,576,18,18,18,0,0.881836,1.0,False,decoder stopped with 1 missing source blocks,True
64,76,4,1,0.8,4,noise002,projection,center,2,19,35,576,576,18,18,18,0,1.0,1.0,False,decoder stopped with 1 missing source blocks,True
64,76,4,1,0.8,4,crop090,projection,center,2,19,35,576,576,18,0,0,18,0.082031,0.795139,False,no CRC-valid symbols available,True
64,76,4,1,0.8,8,clean,projection,center,2,19,35,1120,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,1,0.8,8,jpeg85,projection,center,2,19,35,1120,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,1,0.8,8,resize075,projection,center,2,19,35,1120,1120,35,35,35,0,0.960449,1.0,True,,False
64,76,4,1,0.8,8,blur1,projection,center,2,19,35,1120,1120,35,35,35,0,0.881836,1.0,True,,False
64,76,4,1,0.8,8,noise002,projection,center,2,19,35,1120,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,1,0.8,8,crop090,projection,center,2,19,35,1120,1120,35,0,0,35,0.08252,0.7875,False,no CRC-valid symbols available,False
64,76,4,1,0.8,12,clean,projection,center,2,19,35,1120,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,1,0.8,12,jpeg85,projection,center,2,19,35,1120,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,1,0.8,12,resize075,projection,center,2,19,35,1120,1120,35,35,35,0,0.961914,1.0,True,,False
64,76,4,1,0.8,12,blur1,projection,center,2,19,35,1120,1120,35,35,35,0,0.883138,1.0,True,,False
64,76,4,1,0.8,12,noise002,projection,center,2,19,35,1120,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,1,0.8,12,crop090,projection,center,2,19,35,1120,1120,35,0,0,35,0.080078,0.7875,False,no CRC-valid symbols available,False
64,76,4,1,0.8,16,clean,projection,center,2,19,35,1120,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,1,0.8,16,jpeg85,projection,center,2,19,35,1120,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,1,0.8,16,resize075,projection,center,2,19,35,1120,1120,35,35,35,0,0.960205,1.0,True,,False
64,76,4,1,0.8,16,blur1,projection,center,2,19,35,1120,1120,35,35,35,0,0.882812,1.0,True,,False
64,76,4,1,0.8,16,noise002,projection,center,2,19,35,1120,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,1,0.8,16,crop090,projection,center,2,19,35,1120,1120,35,0,0,35,0.07959,0.7875,False,no CRC-valid symbols available,False
64,76,4,1,0.8,24,clean,projection,center,2,19,35,1120,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,1,0.8,24,jpeg85,projection,center,2,19,35,1120,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,1,0.8,24,resize075,projection,center,2,19,35,1120,1120,35,35,35,0,0.958008,1.0,True,,False
64,76,4,1,0.8,24,blur1,projection,center,2,19,35,1120,1120,35,35,35,0,0.877604,1.0,True,,False
64,76,4,1,0.8,24,noise002,projection,center,2,19,35,1120,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,1,0.8,24,crop090,projection,center,2,19,35,1120,1120,35,0,0,35,0.080241,0.7875,False,no CRC-valid symbols available,False
64,76,4,2,0.5,4,clean,projection,center,2,19,29,464,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,2,0.5,4,jpeg85,projection,center,2,19,29,464,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,2,0.5,4,resize075,projection,center,2,19,29,464,928,29,29,29,0,0.958984,1.0,True,,False
64,76,4,2,0.5,4,blur1,projection,center,2,19,29,464,928,29,29,29,0,0.880859,1.0,True,,False
64,76,4,2,0.5,4,noise002,projection,center,2,19,29,464,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,2,0.5,4,crop090,projection,center,2,19,29,464,928,29,0,0,29,0.083984,0.536638,False,no CRC-valid symbols available,False
64,76,4,2,0.5,8,clean,projection,center,2,19,29,464,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,2,0.5,8,jpeg85,projection,center,2,19,29,464,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,2,0.5,8,resize075,projection,center,2,19,29,464,928,29,29,29,0,0.95166,1.0,True,,False
64,76,4,2,0.5,8,blur1,projection,center,2,19,29,464,928,29,29,29,0,0.874023,1.0,True,,False
64,76,4,2,0.5,8,noise002,projection,center,2,19,29,464,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,2,0.5,8,crop090,projection,center,2,19,29,464,928,29,0,0,29,0.083984,0.536638,False,no CRC-valid symbols available,False
64,76,4,2,0.5,12,clean,projection,center,2,19,29,464,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,2,0.5,12,jpeg85,projection,center,2,19,29,464,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,2,0.5,12,resize075,projection,center,2,19,29,464,928,29,29,29,0,0.956055,1.0,True,,False
64,76,4,2,0.5,12,blur1,projection,center,2,19,29,464,928,29,29,29,0,0.87793,1.0,True,,False
64,76,4,2,0.5,12,noise002,projection,center,2,19,29,464,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,2,0.5,12,crop090,projection,center,2,19,29,464,928,29,0,0,29,0.081055,0.536638,False,no CRC-valid symbols available,False
64,76,4,2,0.5,16,clean,projection,center,2,19,29,464,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,2,0.5,16,jpeg85,projection,center,2,19,29,464,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,2,0.5,16,resize075,projection,center,2,19,29,464,928,29,29,29,0,0.955811,1.0,True,,False
64,76,4,2,0.5,16,blur1,projection,center,2,19,29,464,928,29,29,29,0,0.878906,1.0,True,,False
64,76,4,2,0.5,16,noise002,projection,center,2,19,29,464,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,2,0.5,16,crop090,projection,center,2,19,29,464,928,29,0,0,29,0.080322,0.536638,False,no CRC-valid symbols available,False
64,76,4,2,0.5,24,clean,projection,center,2,19,29,464,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,2,0.5,24,jpeg85,projection,center,2,19,29,464,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,2,0.5,24,resize075,projection,center,2,19,29,464,928,29,29,29,0,0.955078,1.0,True,,False
64,76,4,2,0.5,24,blur1,projection,center,2,19,29,464,928,29,29,29,0,0.875,1.0,True,,False
64,76,4,2,0.5,24,noise002,projection,center,2,19,29,464,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,2,0.5,24,crop090,projection,center,2,19,29,464,928,29,0,0,29,0.080729,0.536638,False,no CRC-valid symbols available,False
64,76,4,2,0.8,4,clean,projection,center,2,19,35,560,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,2,0.8,4,jpeg85,projection,center,2,19,35,560,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,2,0.8,4,resize075,projection,center,2,19,35,560,1120,35,35,35,0,0.958984,1.0,True,,False
64,76,4,2,0.8,4,blur1,projection,center,2,19,35,560,1120,35,34,34,1,0.876953,0.998214,True,,False
64,76,4,2,0.8,4,noise002,projection,center,2,19,35,560,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,2,0.8,4,crop090,projection,center,2,19,35,560,1120,35,0,0,35,0.087891,0.535714,False,no CRC-valid symbols available,False
64,76,4,2,0.8,8,clean,projection,center,2,19,35,560,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,2,0.8,8,jpeg85,projection,center,2,19,35,560,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,2,0.8,8,resize075,projection,center,2,19,35,560,1120,35,35,35,0,0.95166,1.0,True,,False
64,76,4,2,0.8,8,blur1,projection,center,2,19,35,560,1120,35,34,34,1,0.87207,0.998214,True,,False
64,76,4,2,0.8,8,noise002,projection,center,2,19,35,560,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,2,0.8,8,crop090,projection,center,2,19,35,560,1120,35,0,0,35,0.085938,0.535714,False,no CRC-valid symbols available,False
64,76,4,2,0.8,12,clean,projection,center,2,19,35,560,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,2,0.8,12,jpeg85,projection,center,2,19,35,560,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,2,0.8,12,resize075,projection,center,2,19,35,560,1120,35,35,35,0,0.956055,1.0,True,,False
64,76,4,2,0.8,12,blur1,projection,center,2,19,35,560,1120,35,34,34,1,0.876628,0.998214,True,,False
64,76,4,2,0.8,12,noise002,projection,center,2,19,35,560,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,2,0.8,12,crop090,projection,center,2,19,35,560,1120,35,0,0,35,0.082357,0.535714,False,no CRC-valid symbols available,False
64,76,4,2,0.8,16,clean,projection,center,2,19,35,560,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,2,0.8,16,jpeg85,projection,center,2,19,35,560,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,2,0.8,16,resize075,projection,center,2,19,35,560,1120,35,35,35,0,0.955811,1.0,True,,False
64,76,4,2,0.8,16,blur1,projection,center,2,19,35,560,1120,35,34,34,1,0.87793,0.998214,True,,False
64,76,4,2,0.8,16,noise002,projection,center,2,19,35,560,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,2,0.8,16,crop090,projection,center,2,19,35,560,1120,35,0,0,35,0.081299,0.535714,False,no CRC-valid symbols available,False
64,76,4,2,0.8,24,clean,projection,center,2,19,35,560,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,2,0.8,24,jpeg85,projection,center,2,19,35,560,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,2,0.8,24,resize075,projection,center,2,19,35,560,1120,35,35,35,0,0.955078,1.0,True,,False
64,76,4,2,0.8,24,blur1,projection,center,2,19,35,560,1120,35,34,34,1,0.874349,0.998214,True,,False
64,76,4,2,0.8,24,noise002,projection,center,2,19,35,560,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,2,0.8,24,crop090,projection,center,2,19,35,560,1120,35,0,0,35,0.08138,0.535714,False,no CRC-valid symbols available,False
