payload_bytes,packet_bytes,block_size,bits_per_token,overhead,image_copies,attack,binning,source_symbols,encoded_symbols,used_token_slots,raw_capacity_bits,recovered_symbols,exact_symbols,token_match_rate,value_match_rate,exact_recovery,failure,capacity_exhausted
64,76,4,1,0.5,2,clean,projection,19,29,512,512,16,16,1.0,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,0.5,2,jpeg85,projection,19,29,512,512,16,16,1.0,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,0.5,2,resize075,projection,19,29,512,512,16,16,0.957031,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,0.5,2,blur1,projection,19,29,512,512,16,16,0.886719,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,0.5,2,noise002,projection,19,29,512,512,16,16,1.0,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,0.5,2,crop090,projection,19,29,512,512,16,0,0.083984,0.673828,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,0.5,4,clean,projection,19,29,928,928,29,29,1.0,1.0,True,,False
64,76,4,1,0.5,4,jpeg85,projection,19,29,928,928,29,29,1.0,1.0,True,,False
64,76,4,1,0.5,4,resize075,projection,19,29,928,928,29,29,0.960938,1.0,True,,False
64,76,4,1,0.5,4,blur1,projection,19,29,928,928,29,29,0.885742,1.0,True,,False
64,76,4,1,0.5,4,noise002,projection,19,29,928,928,29,29,1.0,1.0,True,,False
64,76,4,1,0.5,4,crop090,projection,19,29,928,928,29,0,0.083984,0.674569,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,1,0.5,8,clean,projection,19,29,928,928,29,29,1.0,1.0,True,,False
64,76,4,1,0.5,8,jpeg85,projection,19,29,928,928,29,29,1.0,1.0,True,,False
64,76,4,1,0.5,8,resize075,projection,19,29,928,928,29,29,0.952637,1.0,True,,False
64,76,4,1,0.5,8,blur1,projection,19,29,928,928,29,29,0.876465,1.0,True,,False
64,76,4,1,0.5,8,noise002,projection,19,29,928,928,29,29,1.0,1.0,True,,False
64,76,4,1,0.5,8,crop090,projection,19,29,928,928,29,0,0.083984,0.674569,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,1,0.5,12,clean,projection,19,29,928,928,29,29,1.0,1.0,True,,False
64,76,4,1,0.5,12,jpeg85,projection,19,29,928,928,29,29,1.0,1.0,True,,False
64,76,4,1,0.5,12,resize075,projection,19,29,928,928,29,29,0.956706,1.0,True,,False
64,76,4,1,0.5,12,blur1,projection,19,29,928,928,29,29,0.879557,1.0,True,,False
64,76,4,1,0.5,12,noise002,projection,19,29,928,928,29,29,1.0,1.0,True,,False
64,76,4,1,0.5,12,crop090,projection,19,29,928,928,29,0,0.081055,0.674569,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,1,0.5,16,clean,projection,19,29,928,928,29,29,1.0,1.0,True,,False
64,76,4,1,0.5,16,jpeg85,projection,19,29,928,928,29,29,1.0,1.0,True,,False
64,76,4,1,0.5,16,resize075,projection,19,29,928,928,29,29,0.956299,1.0,True,,False
64,76,4,1,0.5,16,blur1,projection,19,29,928,928,29,29,0.880127,1.0,True,,False
64,76,4,1,0.5,16,noise002,projection,19,29,928,928,29,29,1.0,1.0,True,,False
64,76,4,1,0.5,16,crop090,projection,19,29,928,928,29,0,0.080322,0.674569,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,1,0.8,2,clean,projection,19,35,512,512,16,16,1.0,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,0.8,2,jpeg85,projection,19,35,512,512,16,16,1.0,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,0.8,2,resize075,projection,19,35,512,512,16,16,0.957031,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,0.8,2,blur1,projection,19,35,512,512,16,16,0.886719,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,0.8,2,noise002,projection,19,35,512,512,16,16,1.0,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,0.8,2,crop090,projection,19,35,512,512,16,0,0.083984,0.673828,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,0.8,4,clean,projection,19,35,1024,1024,32,32,1.0,1.0,True,,True
64,76,4,1,0.8,4,jpeg85,projection,19,35,1024,1024,32,32,1.0,1.0,True,,True
64,76,4,1,0.8,4,resize075,projection,19,35,1024,1024,32,32,0.960938,1.0,True,,True
64,76,4,1,0.8,4,blur1,projection,19,35,1024,1024,32,32,0.884766,1.0,True,,True
64,76,4,1,0.8,4,noise002,projection,19,35,1024,1024,32,32,1.0,1.0,True,,True
64,76,4,1,0.8,4,crop090,projection,19,35,1024,1024,32,0,0.082031,0.664062,False,inconsistent equations; symbol data may be corrupted,True
64,76,4,1,0.8,8,clean,projection,19,35,1120,1120,35,35,1.0,1.0,True,,False
64,76,4,1,0.8,8,jpeg85,projection,19,35,1120,1120,35,35,1.0,1.0,True,,False
64,76,4,1,0.8,8,resize075,projection,19,35,1120,1120,35,35,0.953125,1.0,True,,False
64,76,4,1,0.8,8,blur1,projection,19,35,1120,1120,35,35,0.874512,1.0,True,,False
64,76,4,1,0.8,8,noise002,projection,19,35,1120,1120,35,35,1.0,1.0,True,,False
64,76,4,1,0.8,8,crop090,projection,19,35,1120,1120,35,0,0.081543,0.6625,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,1,0.8,12,clean,projection,19,35,1120,1120,35,35,1.0,1.0,True,,False
64,76,4,1,0.8,12,jpeg85,projection,19,35,1120,1120,35,35,1.0,1.0,True,,False
64,76,4,1,0.8,12,resize075,projection,19,35,1120,1120,35,35,0.957031,1.0,True,,False
64,76,4,1,0.8,12,blur1,projection,19,35,1120,1120,35,35,0.878255,1.0,True,,False
64,76,4,1,0.8,12,noise002,projection,19,35,1120,1120,35,35,1.0,1.0,True,,False
64,76,4,1,0.8,12,crop090,projection,19,35,1120,1120,35,0,0.079427,0.6625,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,1,0.8,16,clean,projection,19,35,1120,1120,35,35,1.0,1.0,True,,False
64,76,4,1,0.8,16,jpeg85,projection,19,35,1120,1120,35,35,1.0,1.0,True,,False
64,76,4,1,0.8,16,resize075,projection,19,35,1120,1120,35,35,0.956543,1.0,True,,False
64,76,4,1,0.8,16,blur1,projection,19,35,1120,1120,35,35,0.87915,1.0,True,,False
64,76,4,1,0.8,16,noise002,projection,19,35,1120,1120,35,35,1.0,1.0,True,,False
64,76,4,1,0.8,16,crop090,projection,19,35,1120,1120,35,0,0.079102,0.6625,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,1,1.2,2,clean,projection,19,42,512,512,16,16,1.0,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,1.2,2,jpeg85,projection,19,42,512,512,16,16,1.0,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,1.2,2,resize075,projection,19,42,512,512,16,16,0.957031,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,1.2,2,blur1,projection,19,42,512,512,16,16,0.886719,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,1.2,2,noise002,projection,19,42,512,512,16,16,1.0,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,1.2,2,crop090,projection,19,42,512,512,16,0,0.083984,0.673828,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,1.2,4,clean,projection,19,42,1024,1024,32,32,1.0,1.0,True,,True
64,76,4,1,1.2,4,jpeg85,projection,19,42,1024,1024,32,32,1.0,1.0,True,,True
64,76,4,1,1.2,4,resize075,projection,19,42,1024,1024,32,32,0.960938,1.0,True,,True
64,76,4,1,1.2,4,blur1,projection,19,42,1024,1024,32,32,0.884766,1.0,True,,True
64,76,4,1,1.2,4,noise002,projection,19,42,1024,1024,32,32,1.0,1.0,True,,True
64,76,4,1,1.2,4,crop090,projection,19,42,1024,1024,32,0,0.082031,0.664062,False,inconsistent equations; symbol data may be corrupted,True
64,76,4,1,1.2,8,clean,projection,19,42,1344,1344,42,42,1.0,1.0,True,,False
64,76,4,1,1.2,8,jpeg85,projection,19,42,1344,1344,42,42,1.0,1.0,True,,False
64,76,4,1,1.2,8,resize075,projection,19,42,1344,1344,42,42,0.95459,1.0,True,,False
64,76,4,1,1.2,8,blur1,projection,19,42,1344,1344,42,42,0.871094,1.0,True,,False
64,76,4,1,1.2,8,noise002,projection,19,42,1344,1344,42,42,1.0,1.0,True,,False
64,76,4,1,1.2,8,crop090,projection,19,42,1344,1344,42,0,0.081055,0.665179,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,1,1.2,12,clean,projection,19,42,1344,1344,42,42,1.0,1.0,True,,False
64,76,4,1,1.2,12,jpeg85,projection,19,42,1344,1344,42,42,1.0,1.0,True,,False
64,76,4,1,1.2,12,resize075,projection,19,42,1344,1344,42,42,0.958008,1.0,True,,False
64,76,4,1,1.2,12,blur1,projection,19,42,1344,1344,42,42,0.875977,1.0,True,,False
64,76,4,1,1.2,12,noise002,projection,19,42,1344,1344,42,42,1.0,1.0,True,,False
64,76,4,1,1.2,12,crop090,projection,19,42,1344,1344,42,0,0.079102,0.665179,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,1,1.2,16,clean,projection,19,42,1344,1344,42,42,1.0,1.0,True,,False
64,76,4,1,1.2,16,jpeg85,projection,19,42,1344,1344,42,42,1.0,1.0,True,,False
64,76,4,1,1.2,16,resize075,projection,19,42,1344,1344,42,42,0.957275,1.0,True,,False
64,76,4,1,1.2,16,blur1,projection,19,42,1344,1344,42,42,0.877441,1.0,True,,False
64,76,4,1,1.2,16,noise002,projection,19,42,1344,1344,42,42,1.0,1.0,True,,False
64,76,4,1,1.2,16,crop090,projection,19,42,1344,1344,42,0,0.078857,0.665179,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,0.5,2,clean,projection,19,29,464,928,29,29,1.0,1.0,True,,False
64,76,4,2,0.5,2,jpeg85,projection,19,29,464,928,29,29,1.0,1.0,True,,False
64,76,4,2,0.5,2,resize075,projection,19,29,464,928,29,29,0.966797,1.0,True,,False
64,76,4,2,0.5,2,blur1,projection,19,29,464,928,29,26,0.892578,0.993534,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,0.5,2,noise002,projection,19,29,464,928,29,29,1.0,1.0,True,,False
64,76,4,2,0.5,2,crop090,projection,19,29,464,928,29,0,0.070312,0.443966,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,0.5,4,clean,projection,19,29,464,928,29,29,1.0,1.0,True,,False
64,76,4,2,0.5,4,jpeg85,projection,19,29,464,928,29,29,1.0,1.0,True,,False
64,76,4,2,0.5,4,resize075,projection,19,29,464,928,29,29,0.961914,1.0,True,,False
64,76,4,2,0.5,4,blur1,projection,19,29,464,928,29,26,0.888672,0.993534,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,0.5,4,noise002,projection,19,29,464,928,29,29,1.0,1.0,True,,False
64,76,4,2,0.5,4,crop090,projection,19,29,464,928,29,0,0.079102,0.443966,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,0.5,8,clean,projection,19,29,464,928,29,29,1.0,1.0,True,,False
64,76,4,2,0.5,8,jpeg85,projection,19,29,464,928,29,29,1.0,1.0,True,,False
64,76,4,2,0.5,8,resize075,projection,19,29,464,928,29,29,0.953125,1.0,True,,False
64,76,4,2,0.5,8,blur1,projection,19,29,464,928,29,26,0.87793,0.993534,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,0.5,8,noise002,projection,19,29,464,928,29,29,1.0,1.0,True,,False
64,76,4,2,0.5,8,crop090,projection,19,29,464,928,29,0,0.081543,0.443966,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,0.5,12,clean,projection,19,29,464,928,29,29,1.0,1.0,True,,False
64,76,4,2,0.5,12,jpeg85,projection,19,29,464,928,29,29,1.0,1.0,True,,False
64,76,4,2,0.5,12,resize075,projection,19,29,464,928,29,29,0.957031,1.0,True,,False
64,76,4,2,0.5,12,blur1,projection,19,29,464,928,29,26,0.880534,0.993534,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,0.5,12,noise002,projection,19,29,464,928,29,29,1.0,1.0,True,,False
64,76,4,2,0.5,12,crop090,projection,19,29,464,928,29,0,0.079427,0.443966,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,0.5,16,clean,projection,19,29,464,928,29,29,1.0,1.0,True,,False
64,76,4,2,0.5,16,jpeg85,projection,19,29,464,928,29,29,1.0,1.0,True,,False
64,76,4,2,0.5,16,resize075,projection,19,29,464,928,29,29,0.956543,1.0,True,,False
64,76,4,2,0.5,16,blur1,projection,19,29,464,928,29,26,0.880859,0.993534,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,0.5,16,noise002,projection,19,29,464,928,29,29,1.0,1.0,True,,False
64,76,4,2,0.5,16,crop090,projection,19,29,464,928,29,0,0.079102,0.443966,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,0.8,2,clean,projection,19,35,512,1024,32,32,1.0,1.0,True,,True
64,76,4,2,0.8,2,jpeg85,projection,19,35,512,1024,32,32,1.0,1.0,True,,True
64,76,4,2,0.8,2,resize075,projection,19,35,512,1024,32,32,0.970703,1.0,True,,True
64,76,4,2,0.8,2,blur1,projection,19,35,512,1024,32,29,0.884766,0.994141,False,inconsistent equations; symbol data may be corrupted,True
64,76,4,2,0.8,2,noise002,projection,19,35,512,1024,32,32,1.0,1.0,True,,True
64,76,4,2,0.8,2,crop090,projection,19,35,512,1024,32,0,0.070312,0.429688,False,inconsistent equations; symbol data may be corrupted,True
64,76,4,2,0.8,4,clean,projection,19,35,560,1120,35,35,1.0,1.0,True,,False
64,76,4,2,0.8,4,jpeg85,projection,19,35,560,1120,35,35,1.0,1.0,True,,False
64,76,4,2,0.8,4,resize075,projection,19,35,560,1120,35,35,0.964844,1.0,True,,False
64,76,4,2,0.8,4,blur1,projection,19,35,560,1120,35,32,0.886719,0.994643,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,0.8,4,noise002,projection,19,35,560,1120,35,35,1.0,1.0,True,,False
64,76,4,2,0.8,4,crop090,projection,19,35,560,1120,35,0,0.080078,0.4125,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,0.8,8,clean,projection,19,35,560,1120,35,35,1.0,1.0,True,,False
64,76,4,2,0.8,8,jpeg85,projection,19,35,560,1120,35,35,1.0,1.0,True,,False
64,76,4,2,0.8,8,resize075,projection,19,35,560,1120,35,35,0.95459,1.0,True,,False
64,76,4,2,0.8,8,blur1,projection,19,35,560,1120,35,32,0.876953,0.994643,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,0.8,8,noise002,projection,19,35,560,1120,35,35,1.0,1.0,True,,False
64,76,4,2,0.8,8,crop090,projection,19,35,560,1120,35,0,0.082031,0.4125,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,0.8,12,clean,projection,19,35,560,1120,35,35,1.0,1.0,True,,False
64,76,4,2,0.8,12,jpeg85,projection,19,35,560,1120,35,35,1.0,1.0,True,,False
64,76,4,2,0.8,12,resize075,projection,19,35,560,1120,35,35,0.958008,1.0,True,,False
64,76,4,2,0.8,12,blur1,projection,19,35,560,1120,35,32,0.879883,0.994643,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,0.8,12,noise002,projection,19,35,560,1120,35,35,1.0,1.0,True,,False
64,76,4,2,0.8,12,crop090,projection,19,35,560,1120,35,0,0.079753,0.4125,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,0.8,16,clean,projection,19,35,560,1120,35,35,1.0,1.0,True,,False
64,76,4,2,0.8,16,jpeg85,projection,19,35,560,1120,35,35,1.0,1.0,True,,False
64,76,4,2,0.8,16,resize075,projection,19,35,560,1120,35,35,0.957275,1.0,True,,False
64,76,4,2,0.8,16,blur1,projection,19,35,560,1120,35,32,0.880371,0.994643,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,0.8,16,noise002,projection,19,35,560,1120,35,35,1.0,1.0,True,,False
64,76,4,2,0.8,16,crop090,projection,19,35,560,1120,35,0,0.079346,0.4125,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,1.2,2,clean,projection,19,42,512,1024,32,32,1.0,1.0,True,,True
64,76,4,2,1.2,2,jpeg85,projection,19,42,512,1024,32,32,1.0,1.0,True,,True
64,76,4,2,1.2,2,resize075,projection,19,42,512,1024,32,32,0.970703,1.0,True,,True
64,76,4,2,1.2,2,blur1,projection,19,42,512,1024,32,29,0.884766,0.994141,False,inconsistent equations; symbol data may be corrupted,True
64,76,4,2,1.2,2,noise002,projection,19,42,512,1024,32,32,1.0,1.0,True,,True
64,76,4,2,1.2,2,crop090,projection,19,42,512,1024,32,0,0.070312,0.429688,False,inconsistent equations; symbol data may be corrupted,True
64,76,4,2,1.2,4,clean,projection,19,42,672,1344,42,42,1.0,1.0,True,,False
64,76,4,2,1.2,4,jpeg85,projection,19,42,672,1344,42,42,1.0,1.0,True,,False
64,76,4,2,1.2,4,resize075,projection,19,42,672,1344,42,42,0.959961,1.0,True,,False
64,76,4,2,1.2,4,blur1,projection,19,42,672,1344,42,38,0.878906,0.994048,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,1.2,4,noise002,projection,19,42,672,1344,42,42,1.0,1.0,True,,False
64,76,4,2,1.2,4,crop090,projection,19,42,672,1344,42,0,0.079102,0.436012,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,1.2,8,clean,projection,19,42,672,1344,42,42,1.0,1.0,True,,False
64,76,4,2,1.2,8,jpeg85,projection,19,42,672,1344,42,42,1.0,1.0,True,,False
64,76,4,2,1.2,8,resize075,projection,19,42,672,1344,42,42,0.952148,1.0,True,,False
64,76,4,2,1.2,8,blur1,projection,19,42,672,1344,42,38,0.873047,0.994048,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,1.2,8,noise002,projection,19,42,672,1344,42,42,1.0,1.0,True,,False
64,76,4,2,1.2,8,crop090,projection,19,42,672,1344,42,0,0.081543,0.436012,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,1.2,12,clean,projection,19,42,672,1344,42,42,1.0,1.0,True,,False
64,76,4,2,1.2,12,jpeg85,projection,19,42,672,1344,42,42,1.0,1.0,True,,False
64,76,4,2,1.2,12,resize075,projection,19,42,672,1344,42,42,0.95638,1.0,True,,False
64,76,4,2,1.2,12,blur1,projection,19,42,672,1344,42,38,0.877279,0.994048,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,1.2,12,noise002,projection,19,42,672,1344,42,42,1.0,1.0,True,,False
64,76,4,2,1.2,12,crop090,projection,19,42,672,1344,42,0,0.079427,0.436012,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,1.2,16,clean,projection,19,42,672,1344,42,42,1.0,1.0,True,,False
64,76,4,2,1.2,16,jpeg85,projection,19,42,672,1344,42,42,1.0,1.0,True,,False
64,76,4,2,1.2,16,resize075,projection,19,42,672,1344,42,42,0.956055,1.0,True,,False
64,76,4,2,1.2,16,blur1,projection,19,42,672,1344,42,38,0.878418,0.994048,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,1.2,16,noise002,projection,19,42,672,1344,42,42,1.0,1.0,True,,False
64,76,4,2,1.2,16,crop090,projection,19,42,672,1344,42,0,0.079102,0.436012,False,inconsistent equations; symbol data may be corrupted,False
128,140,4,1,0.5,2,clean,projection,35,53,512,512,16,16,1.0,1.0,False,decoder stopped with 19 missing source blocks,True
128,140,4,1,0.5,2,jpeg85,projection,35,53,512,512,16,16,1.0,1.0,False,decoder stopped with 19 missing source blocks,True
128,140,4,1,0.5,2,resize075,projection,35,53,512,512,16,16,0.966797,1.0,False,decoder stopped with 19 missing source blocks,True
